Team;Pitcher;Poss;Avg. Runs;O75;O85;O95;Odd
PHI;Cristopher SÃ¡nchez;89,20666666666666;7,2586159174567975;41,68666666666667;20,246666666666666;7,546666666666667;75,18796992481202
WSH;Mitchell Parker;66,46;7,6029505447797465;50,65333333333333;27,413333333333334;11,766666666666667;""
TEX*;Max Scherzer;70,96000000000001;5,669230985710588;13,486666666666666;5,08;1,3733333333333333;37,03703703703704
NYY;Marcus Stroman;71,34666666666666;7,1968228067818725;40,46666666666667;19,5;7,086666666666666;57,47126436781609
BOS;Nick Pivetta;63,38;8,750038281340368;77,58666666666667;54,64;31,14;""
HOU;Ronel Blanco;70,04666666666667;7,725891724685509;54,02666666666667;30,246666666666666;13,613333333333333;""
CHW;Drew Thorpe;51,55333333333333;8,431087447221426;72,97333333333333;46,400000000000006;22,68;""
ATL;Charlie Morton;58,166666666666664;8,333633863439251;69,51333333333334;43,95333333333333;22,26666666666667;""
CLE;Triston McKenzie;53,07333333333333;8,894687066965984;79,94;57,75333333333334;34,52;52,631578947368425
CHC;Jameson Taillon;51,5;7,238480951043302;41,57333333333334;20,506666666666668;7,9799999999999995;""
CIN;Frankie Montas;60,41333333333333;8,426048744830196;72,21333333333332;46,00666666666667;23,42666666666667;44,44444444444444
DET;Kenta Maeda;78,99333333333334;10,55857894509283;99,01333333333334;92,97999999999999;75,61333333333333;59,523809523809526
SEA;Logan Gilbert;60,18666666666667;7,503628845225737;48,413333333333334;24,586666666666666;9,92;""
OAK;JP Sears;59,553333333333335;8,919062249439902;82,44666666666667;59,61333333333333;33,48;""
LAD;Landon Knack;59,21333333333333;7,168895476102079;40,96666666666667;20,726666666666667;8,52;""
